,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1969.0,88.0,31.0,0.0,138.0
1,1919.0,165.0,81.0,1.0,303.0
2,1838.0,270.0,162.0,2.0,573.0
3,1695.0,346.0,305.0,3.0,919.0
4,1527.0,415.0,473.0,4.0,1334.0
5,1303.0,363.0,697.0,5.0,1697.0
6,1118.0,253.0,882.0,6.0,1950.0
7,994.0,154.0,1006.0,7.0,2104.0
8,926.0,66.0,1074.0,8.0,2170.0
9,899.0,24.0,1101.0,9.0,2194.0
10,887.0,9.0,1113.0,10.0,2203.0
11,882.0,3.0,1118.0,11.0,2206.0
12,880.0,1.0,1120.0,12.0,2207.0
13,879.0,1.0,1121.0,13.0,2208.0
14,879.0,0.0,1121.0,14.0,2208.0
15,879.0,0.0,1121.0,15.0,2208.0
16,879.0,0.0,1121.0,16.0,2208.0
17,879.0,0.0,1121.0,17.0,2208.0
18,879.0,0.0,1121.0,18.0,2208.0
19,879.0,0.0,1121.0,19.0,2208.0
20,879.0,0.0,1121.0,20.0,2208.0
